Done with benching. Current timestamp: 2017-06-22 08:55:44.686
QUERY72, 879, 31862669, 2017-06-21 15:04:38.862, 2279574, OK
QUERY73, 497, 4880508, 2017-06-21 15:07:02.953, 2423665, OK
QUERY74, 1377, 76581633, 2017-06-21 15:00:39.970, 2040682, OK
QUERY75, 8709, 434696369, 2017-06-21 14:29:41.723, 182435, OK
QUERY76, 10809, 462891079, 2017-06-21 14:27:23.831, 44543, OK
QUERY77, 5274, 283254118, 2017-06-21 14:42:20.904, 941616, OK
QUERY78, 1611, 111175456, 2017-06-21 14:57:35.665, 1856377, OK
QUERY79, 3344, 204660886, 2017-06-21 14:48:54.311, 1335023, OK
QUERY80, 4691, 265785100, 2017-06-21 14:43:48.309, 1029021, OK
QUERY81, 3453, 186766045, 2017-06-21 14:50:24.377, 1425089, OK
QUERY82, 2370, 176205865, 2017-06-21 14:51:17.684, 1478396, OK
QUERY83, 5915, 271863114, 2017-06-21 14:43:17.892, 998604, OK
QUERY84, 6919, 318808853, 2017-06-21 14:39:23.024, 763736, OK
QUERY85, 4821, 309647349, 2017-06-21 14:40:08.924, 809636, OK
QUERY86, 10215, 466041205, 2017-06-21 14:27:09.003, 29715, OK
QUERY87, 5400, 309948720, 2017-06-21 14:40:07.386, 808098, OK
QUERY88, 3318, 169503332, 2017-06-21 14:52:24.890, 1545602, OK
QUERY89, 5216, 357525342, 2017-06-21 14:36:08.570, 569282, OK
QUERY90, 6671, 404353945, 2017-06-21 14:32:13.531, 334243, OK
QUERY91, 3510, 217189542, 2017-06-21 14:47:51.566, 1272278, OK
QUERY92, 2307, 155911523, 2017-06-21 14:53:37.119, 1617831, OK
QUERY93, 3450, 243188626, 2017-06-21 14:45:41.360, 1142072, OK
QUERY94, 3795, 257950243, 2017-06-21 14:44:27.502, 1068214, OK
QUERY95, 2482, 138488370, 2017-06-21 14:55:10.091, 1710803, OK
QUERY96, 4664, 160429222, 2017-06-21 14:53:13.021, 1593733, OK
QUERY97, 8581, 185172866, 2017-06-21 14:50:32.390, 1433102, OK
QUERY98, 4255, 69502172, 2017-06-21 15:01:17.737, 2078449, OK
QUERY99, 1874, 40629350, 2017-06-21 15:03:52.057, 2232769, OK
QUERY100, 37862, 467966499, 2017-06-21 14:26:59.776, 20488, OK
QUERY101, 72448, 426430380, 2017-06-21 14:30:22.895, 223607, OK
QUERY102, 43300, 247926600, 2017-06-21 14:45:17.644, 1118356, OK
QUERY103, 15880, 84900635, 2017-06-21 14:59:55.568, 1996280, OK
QUERY104, 36267, 290497423, 2017-06-21 14:41:44.691, 905403, OK
QUERY105, 61057, 406456475, 2017-06-21 14:32:03.176, 323888, OK
QUERY106, 24655, 131123007, 2017-06-21 14:55:49.363, 1750075, OK
QUERY107, 80618, 361736975, 2017-06-21 14:35:47.443, 548155, OK
QUERY108, 76424, 409091462, 2017-06-21 14:31:49.906, 310618, OK
QUERY109, 33982, 282447187, 2017-06-21 14:42:24.948, 945660, OK
QUERY110, 52946, 398150409, 2017-06-21 14:32:44.768, 365480, OK
QUERY111, 34046, 199646447, 2017-06-21 14:49:19.562, 1360274, OK
QUERY112, 24793, 189739140, 2017-06-21 14:50:09.442, 1410154, OK
QUERY113, 16540, 186790156, 2017-06-21 14:50:24.258, 1424970, OK
QUERY114, 13818, 135750857, 2017-06-21 14:55:24.680, 1725392, OK
QUERY115, 46655, 307700898, 2017-06-21 14:40:18.650, 819362, OK
QUERY116, 29048, 234845415, 2017-06-21 14:46:23.110, 1183822, OK
QUERY117, 2261, 19006378, 2017-06-21 15:05:47.479, 2348191, OK
QUERY118, 4708, 50802993, 2017-06-21 15:02:57.591, 2178303, OK
QUERY119, 23870, 201277854, 2017-06-21 14:49:11.376, 1352088, OK
QUERY120, 18688, 177921327, 2017-06-21 14:51:08.832, 1469544, OK
QUERY121, 55073, 466352506, 2017-06-21 14:27:07.559, 28271, OK
QUERY122, 28272, 246338981, 2017-06-21 14:45:25.598, 1126310, OK
QUERY123, 5731, 52421766, 2017-06-21 15:02:48.949, 2169661, OK
QUERY124, 13928, 132083764, 2017-06-21 14:55:44.237, 1744949, OK
QUERY125, 51602, 469720704, 2017-06-21 14:26:51.173, 11885, OK
QUERY126, 40047, 404264345, 2017-06-21 14:32:13.986, 334698, OK
QUERY127, 25370, 248009563, 2017-06-21 14:45:17.226, 1117938, OK
QUERY128, 13990, 151158780, 2017-06-21 14:54:02.490, 1643202, OK
QUERY129, 6295, 66831274, 2017-06-21 15:01:31.988, 2092700, OK
QUERY130, 16478, 184699785, 2017-06-21 14:50:34.767, 1435479, OK
QUERY131, 46296, 469003424, 2017-06-21 14:26:54.750, 15462, OK
QUERY132, 12247, 129075024, 2017-06-21 14:56:00.293, 1761005, OK
QUERY133, 41597, 449506119, 2017-06-21 14:28:28.576, 109288, OK
QUERY134, 7600, 71620795, 2017-06-21 15:01:06.373, 2067085, OK
